1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
21.246125,35.2969,20.1425,17.68375,17.2575,18.6475,16.8325,17.492500000000003,19.1625,15.965000000000002,12.264999999999999,12.807500000000001,12.4225,11.626249999999999,15.905000000000001,22.375,18.785,26.8925,45.855000000000004,43.2975,44.82333333333333
,,,,,,,,,,,,,,,,,,,,10.620000000000001
,,,,,,,,,,,,,,,,2.4175,6.5600000000000005,12.515,18.5975,28.293333333333333
2.9676,3.1064999999999996,4.3081249999999995,5.26185,5.9548,9.0763,12.41555,13.6037,18.253349999999998,18.012249999999998,15.444475,20.917225000000002,27.306675,34.658325000000005,46.087500000000006,51.6525,53.3075,48.1475,63.29,73.7375,88.54333333333334
20.645825000000002,34.135400000000004,39.298325000000006,38.03999999999999,39.151650000000004,56.55749999999999,70.75750000000001,99.685,120.52,76.3925,58.065000000000005,79.25,96.205,118.60249999999999,179.2575,204.51250000000002,191.0325,148.29250000000002,181.22,143.10250000000002,94.2
42.172250000000005,66.34775,59.0195,47.9,62.59,58.392500000000005,69.3,69.45500000000001,53.545,51.49,54.815,55.5925,57.739999999999995,77.91749999999999,106.8175,135.365,153.505,153.775,174.1625,189.2575,189.25666666666666
,,,,,,38.4,47.7825,59.7325,38.52000000000001,29.9775,46.5925,51.94,57.177499999999995,90.165,121.425,117.83,98.6425,143.7375,134.9625,140.12
24.6565,41.6565,15.6325,3.4949999999999997,8.835,15.075,22.825000000000003,33.805,41.7725,36.6875,35.3925,47.5025,54.489999999999995,70.3975,76.00999999999999,91.08250000000001,93.0925,108.7475,133.3025,148.25,207.54666666666665
76.17999999999999,39.3285,10.2925,16.3425,40.879999999999995,45.7075,39.949999999999996,36.6925,73.4975,67.16749999999999,96.245,145.5125,193.4875,234.08,313.90250000000003,323.52250000000004,498.49249999999995,724.1099999999999,996.3399999999999,1663.0275,1803.43
,,,,,,,,,,,,,,,70.49333333333333,72.82499999999999,77.3325,176.8125,247.33749999999998,270.99999999999994
2.3555,2.83595,4.615325,5.289375000000001,8.143125000000001,12.536875,18.8625,23.705000000000002,31.878750000000004,36.849999999999994,34.2975,44.5075,53.795,67.2175,82.05999999999999,77.6275,90.0175,91.3275,124.7175,165.1225,202.96333333333334
,,24.75,31.618750000000002,36.21625,47.80625,71.98125,76.485,81.89500000000001,45.1725,48.6275,56.7025,70.02250000000001,64.13,81.0175,113.1125,149.4975,134.85250000000002,192.1,248.6025,269.7633333333334
38.245000000000005,34.20325,37.005,25.965,22.3875,27.244999999999997,28.9775,36.385,43.2675,44.195,39.43,41.2375,48.25999999999999,50.9325,71.045,89.2175,94.155,109.42500000000001,132.935,144.16,185.75
4.130225,2.8568,3.1029,4.67045,4.9171000000000005,4.7928999999999995,4.96585,7.339600000000001,6.543325,5.6004249999999995,5.8016749999999995,8.990424999999998,9.924375,13.403125,21.525624999999998,24.91125,34.93,44.73875,57.05,54.7025,49.39666666666667
15.71295,25.730525,22.319049999999997,27.476174999999998,34.655,46.849999999999994,67.3925,65.86749999999999,87.47250000000001,109.6575,82.81,100.67,106.2825,88.32499999999999,83.0175,85.0275,50.3975,57.955,46.835,39.787499999999994,29.74333333333333
31.693175,31.490949999999998,39.20825,43.19285000000001,41.824600000000004,49.67365,54.989525,61.88635,81.060575,71.56125,64.595125,72.23384999999999,80.2747,78.409525,91.7663,120.664025,126.14865000000002,136.825375,148.41250000000002,160.465,213.06333333333336
